 0.00000000e+00  1.20000000e+00  0.00000000e+00  1.20000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.65310205e-01  0.00000000e+00  4.65310205e-01 
 1.00000000e-13  1.20000000e+00  1.00000000e-13  1.20000000e+00  1.00000000e-13  0.00000000e+00  1.00000000e-13  4.65310205e-01  1.00000000e-13  4.65310205e-01 
 2.00000000e-13  1.20000000e+00  2.00000000e-13  1.20000000e+00  2.00000000e-13  0.00000000e+00  2.00000000e-13  4.65310205e-01  2.00000000e-13  4.65310205e-01 
 4.00000000e-13  1.20000000e+00  4.00000000e-13  1.20000000e+00  4.00000000e-13  0.00000000e+00  4.00000000e-13  4.65310205e-01  4.00000000e-13  4.65310205e-01 
 8.00000000e-13  1.20000000e+00  8.00000000e-13  1.20000000e+00  8.00000000e-13  0.00000000e+00  8.00000000e-13  4.65310205e-01  8.00000000e-13  4.65310205e-01 
 1.60000000e-12  1.20000000e+00  1.60000000e-12  1.20000000e+00  1.60000000e-12  0.00000000e+00  1.60000000e-12  4.65310205e-01  1.60000000e-12  4.65310205e-01 
 3.20000000e-12  1.20000000e+00  3.20000000e-12  1.20000000e+00  3.20000000e-12  0.00000000e+00  3.20000000e-12  4.65310205e-01  3.20000000e-12  4.65310205e-01 
 6.40000000e-12  1.20000000e+00  6.40000000e-12  1.20000000e+00  6.40000000e-12  0.00000000e+00  6.40000000e-12  4.65310205e-01  6.40000000e-12  4.65310205e-01 
 1.28000000e-11  1.20000000e+00  1.28000000e-11  1.20000000e+00  1.28000000e-11  0.00000000e+00  1.28000000e-11  4.65310205e-01  1.28000000e-11  4.65310205e-01 
 2.28000000e-11  1.20000000e+00  2.28000000e-11  1.20000000e+00  2.28000000e-11  0.00000000e+00  2.28000000e-11  4.65310205e-01  2.28000000e-11  4.65310205e-01 
 3.28000000e-11  1.20000000e+00  3.28000000e-11  1.20000000e+00  3.28000000e-11  0.00000000e+00  3.28000000e-11  4.65310205e-01  3.28000000e-11  4.65310205e-01 
 4.28000000e-11  1.20000000e+00  4.28000000e-11  1.20000000e+00  4.28000000e-11  0.00000000e+00  4.28000000e-11  4.65310205e-01  4.28000000e-11  4.65310205e-01 
 5.28000000e-11  1.20000000e+00  5.28000000e-11  1.20000000e+00  5.28000000e-11  0.00000000e+00  5.28000000e-11  4.65310205e-01  5.28000000e-11  4.65310205e-01 
 6.28000000e-11  1.20000000e+00  6.28000000e-11  1.20000000e+00  6.28000000e-11  0.00000000e+00  6.28000000e-11  4.65310205e-01  6.28000000e-11  4.65310205e-01 
 7.28000000e-11  1.20000000e+00  7.28000000e-11  1.20000000e+00  7.28000000e-11  0.00000000e+00  7.28000000e-11  4.65310205e-01  7.28000000e-11  4.65310205e-01 
 8.28000000e-11  1.20000000e+00  8.28000000e-11  1.20000000e+00  8.28000000e-11  0.00000000e+00  8.28000000e-11  4.65310205e-01  8.28000000e-11  4.65310205e-01 
 9.28000000e-11  1.20000000e+00  9.28000000e-11  1.20000000e+00  9.28000000e-11  0.00000000e+00  9.28000000e-11  4.65310205e-01  9.28000000e-11  4.65310205e-01 
 1.02800000e-10  1.20000000e+00  1.02800000e-10  1.20000000e+00  1.02800000e-10  0.00000000e+00  1.02800000e-10  4.65310205e-01  1.02800000e-10  4.65310205e-01 
 1.12800000e-10  1.20000000e+00  1.12800000e-10  1.20000000e+00  1.12800000e-10  0.00000000e+00  1.12800000e-10  4.65310205e-01  1.12800000e-10  4.65310205e-01 
 1.22800000e-10  1.20000000e+00  1.22800000e-10  1.20000000e+00  1.22800000e-10  0.00000000e+00  1.22800000e-10  4.65310205e-01  1.22800000e-10  4.65310205e-01 
 1.32800000e-10  1.20000000e+00  1.32800000e-10  1.20000000e+00  1.32800000e-10  0.00000000e+00  1.32800000e-10  4.65310205e-01  1.32800000e-10  4.65310205e-01 
